,职位名称,公司名称,职位月薪,工作地点,发布日期
125,综合业务专员（五险一金）,亚束(厦门)科技有限公司,6001-8000,厦门,招聘中
126,证券分析师助理,福州咸鱼科技有限公司,8001-10000,厦门,最新
127,后端开发工程师,北博(厦门)智能科技有限公司,6000-12000,厦门,招聘中
128,运维工程师,厦门水滴链动科技有限公司,10001-15000,厦门,招聘中
129,CRM系统管理/大数据平台管理,厦门和谦行网络科技有限公司,4001-6000,厦门,招聘中
130,高级运维工程师,乐享宝(厦门)金融信息服务有限公司,8000-12000,厦门,最新
131,测试经理（紧急）,泉州如意娘婚姻服务有限公司,25000-35000,厦门,招聘中
132,C++开发,厦门亿联网络技术股份有限公司,20001-30000,厦门-湖里区,招聘中
133,数据库（DBA）,厦门快商通科技股份有限公司,10001-15000,厦门,招聘中
134,业务运维工程师,厦门快商通科技股份有限公司,6001-8000,厦门-湖里区,招聘中
135,高级运维工程师,北京云知声信息技术有限公司,10000-15000,厦门,招聘中
136,运维经理,厦门铃盛软件有限公司,20000-35000,厦门,最近
137,运维员工程师,厦门脸博士整形外科门诊部有限公司,5000-9000,厦门,最新
138,高级c/c++/go工程师,厦门水滴链动科技有限公司,18000-30000,厦门,招聘中
139,软件实施工程师,苏州伊欧陆系统集成有限公司,6000-12000,厦门,最新
140,C/C++开发实习生（服务器软件部）,厦门亿联网络技术股份有限公司,2001-4000,厦门,招聘中
141,DBA数据库工程师,厦门同步网络有限公司,6000-10000,厦门,最新
142,机器学习,厦门市美亚柏科信息股份有限公司,10000-15000,厦门-思明区,招聘中
143,前端工程师,厦门睿曾金融信息技术服务有限公司,6000-8000,厦门,招聘中
144,Web前端高级开发工程师,厦门日华科技股份有限公司,8000-16000,厦门,招聘中
145,测试开发工程师,厦门铃盛软件有限公司,10000-20000,厦门,最近
146,测试工程师,厦门快商通科技股份有限公司,4001-6000,厦门,招聘中
147,语音算法主管,厦门快商通科技股份有限公司,15001-20000,厦门-思明区,招聘中
148,测试工程师（WEB平台/云服务器）,厦门立林科技有限公司,4001-6000,厦门,招聘中
149,手游开发工程师,厦门第二世界网络科技有限公司,6000-10000,厦门,最近
150,语音算法工程师,厦门快商通科技股份有限公司,10001-15000,厦门-思明区,招聘中
151,NLP算法工程,厦门快商通科技股份有限公司,15001-20000,厦门-思明区,招聘中
152,C++工程师（界面）,厦门市般纳文化传媒有限公司,18000-28000,厦门,招聘中
153,推荐算法工程师\数据挖掘算法工程师,厦门邑通软件科技有限公司,10000-20000,厦门,最新
154,绑定设置师（厦门）,华强方特(厦门)动漫有限公司,5000-10000,厦门,最新
155,java开发工程师,厦门立达信绿色照明集团有限公司,15000-30000,厦门,最近
156,图像识别算法工程师,超趣(厦门)科技有限公司,15001-20000,厦门,招聘中
157,大数据开发工程师,北京卡洛其咨询有限公司,10001-15000,厦门,招聘中
158,后端工程师,新诺北斗航科信息技术(厦门)股份有限公司,10000-15000,厦门,招聘中
159,NLP工程师,厦门渊亭信息科技有限公司,10000-16000,厦门,招聘中
160,高级测试工程师,乐享宝(厦门)金融信息服务有限公司,8000-12000,厦门,最新
161,WEB前端开发工程师,北京农信互联科技有限公司,7500-15000,厦门,招聘中
162,测试开发工程师,四三九九网络股份有限公司,4000-8000,厦门,最近
163,服务器运维工程师,雅马哈发动机(厦门)信息系统有限公司,4000-8000,厦门,招聘中
164,信息安全工程师,厦门睿曾金融信息技术服务有限公司,6000-10000,厦门,招聘中
165,高级生物信息分析工程师,厦门安捷致善医学数据科技有限公司,8000-15000,厦门,招聘中
166,PHP开发工程师,厦门巴掌互动科技有限公司,10000-12000,厦门,最近
167,服务端程序员,厦门玩美网络科技有限公司,8000-15000,厦门-思明区,招聘中
168,php开发工程师,深圳市风云互动网络科技有限公司福州分公司,8000-15000,厦门,招聘中
169,安全工程师（开发方向）,北京网宿科技有限公司,8000-16000,厦门,招聘中
170,GIS（地理信息系统）工程师,新诺北斗航科信息技术(厦门)股份有限公司,10001-15000,厦门-思明区,招聘中
171,嵌入式工程师（语音识别及物联网方向）,厦门华联电子股份有限公司,8000-15000,厦门,最近
172,前端开发工程师,北京农信互联科技有限公司,6000-10000,厦门-湖里区,招聘中
173,网络安全工程师,厦门网赢集团有限公司,4001-6000,厦门,招聘中
174,中级运维工程师,厦门醉品春秋网络科技有限公司,8000-12000,厦门,招聘中
175,游戏开发工程师,厦门趣百网络科技有限公司,6001-8000,厦门,招聘中
176,自动化测试工程师,厦门节点信息技术有限公司,10001-15000,厦门,招聘中
177,数据分析专员（高级）,特步（中国）有限公司,6000-8000,厦门-思明区,招聘中
178,区块链工程师,厦门三五互联科技股份有限公司,15001-20000,厦门,最新
179,前端开发工程师,上海甄智信息技术有限公司,8001-10000,厦门,最近
180,大数据平台开发工程师,北京网宿科技有限公司,15001-20000,厦门,招聘中
181,高级算法工程师,科技谷(厦门)信息技术有限公司,12000-20000,厦门,招聘中
182,运维工程师,厦门亿联网络技术股份有限公司,8000-16000,厦门-湖里区,招聘中
184,Java开发工程师,北京卡洛其咨询有限公司,10001-15000,厦门,招聘中
185,服务端开发工程师,蓝海(福建)信息科技有限公司,10001-15000,厦门,最新
186,DBA,厦门又一城网络科技有限公司,10001-15000,厦门,招聘中
187,机器学习算法工程师,厦门渊亭信息科技有限公司,8000-16000,厦门,最近
188,图像目标检测算法工程师（IOD）,北京捷通华声科技股份有限公司,15000-30000,厦门,招聘中
189,乐高老师,北京永同昌房地产开发集团有限公司,4000-8000,厦门,招聘中
190,数据赋能专员,厦门链家宝业房地产经纪有限公司,4000-7000,厦门,招聘中
191,高级Hadoop工程师,唯你网,10000-20000,厦门,最近
192,c++开发工程师,北京网宿科技有限公司,10001-15000,厦门,最近
193,人工智能首席科学家,北京网宿科技有限公司,100001-150000,厦门,招聘中
194,GO服务端开发工程师（美颜相机）-厦门,厦门美图网科技有限公司,8001-10000,厦门-思明区,招聘中
